Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1340.0,0,58,0,0,42,16,20,21,20.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1360.0,0,58,0,0,42,16,20,21,20.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1380.0,0,61,0,0,45,16,20,21,20.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1400.0,0,62,0,0,46,16,21,21,21.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1420.0,0,62,0,0,46,16,22,21,22.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1440.0,0,64,0,0,48,16,22,21,22.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1460.0,0,65,0,0,49,16,22,21,22.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1480.0,0,65,0,0,49,16,23,21,23.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1500.0,0,66,0,0,50,16,25,21,25.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1520.0,0,66,0,0,50,16,25,22,25.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1540.0,0,68,0,0,51,17,25,22,25.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1560.0,0,68,0,0,51,17,25,23,25.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1580.0,9,69,0,0,51,18,26,24,26.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1600.0,28,69,0,0,51,18,26,24,26.0,0.0
ScenarioSize64Probes32HelpfulC,1,880879381715801850,0.125,0.0,0.125,1620.0,30,69,0,0,51,18,26,24,26.0,0.0716
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,20.0,0,0,0,0,0,0,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,40.0,0,3,0,0,1,2,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,60.0,0,4,0,0,1,3,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,80.0,0,4,0,0,1,3,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,100.0,0,5,0,0,2,3,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,120.0,0,5,0,0,2,3,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,140.0,0,5,0,0,2,3,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,160.0,0,6,0,0,2,4,0,0,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,180.0,0,6,0,0,2,4,0,0,0.0,0.0
