,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
166,Default,167,4787407419864783783,0.1,0,0,0,24
167,Default,168,6420692450223060829,0.1,0,0,0,21
168,Default,169,4464970138728589638,0.1,0,0,0,28
169,Default,170,909264836922789002,0.1,0,0,0,30
170,Default,171,2733823090465244602,0.1,0,0,0,25
171,Default,172,5383601446991952018,0.1,0,0,0,28
172,Default,173,9091560379711555457,0.1,0,0,0,33
173,Default,174,4710728677739279027,0.1,0,0,0,37
174,Default,175,4205491525364899648,0.1,0,0,0,25
175,Default,176,2432077068211482329,0.1,0,0,0,33
176,Default,177,455299189084130779,0.1,0,0,0,30
177,Default,178,3678243986514860643,0.1,0,0,0,29
178,Default,179,5423640104124516285,0.1,0,0,0,31
179,Default,180,2139371798559233283,0.1,0,0,0,20
180,Default,181,5176142403063481525,0.1,0,0,0,30
181,Default,182,5521752401712519901,0.1,0,0,0,22
182,Default,183,655434421111985216,0.1,0,0,0,23
183,Default,184,3679144574564880150,0.1,0,0,0,19
184,Default,185,1249626377873384283,0.1,0,0,0,21
185,Default,186,4340170923265994906,0.1,0,0,0,27
186,Default,187,876753517217412240,0.1,0,0,0,20
187,Default,188,3458463631975602722,0.1,0,0,0,18
188,Default,189,1427997768316631599,0.1,0,0,0,26
189,Default,190,7263551798212745421,0.1,0,0,0,32
190,Default,191,2030651451302478596,0.1,0,0,0,35
191,Default,192,3456042319539643762,0.1,0,0,0,20
192,Default,193,5736649696925697504,0.1,0,0,0,27
193,Default,194,2379736502422819557,0.1,0,0,0,29
194,Default,195,8026702388207288361,0.1,0,0,0,26
195,Default,196,4631659366466985036,0.1,0,0,0,20
196,Default,197,8270224062132954600,0.1,0,0,0,26
197,Default,198,8552376342900113499,0.1,0,0,0,29
198,Default,199,152947123140046072,0.1,0,0,0,23
199,Default,200,706081363747507326,0.1,0,0,0,33
200,Default,201,1856359794873058189,0.2,0,0,0,30
201,Default,202,313907204023053757,0.2,0,0,0,21
202,Default,203,5896113309828612422,0.2,0,0,0,26
