Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2260.0,0,0,44,136,0,131,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2270.0,0,0,44,136,0,133,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2280.0,0,0,44,136,0,134,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2290.0,0,0,44,136,0,136,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2300.0,0,0,44,136,0,138,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2310.0,0,0,44,136,0,139,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2320.0,0,0,44,136,0,139,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2330.0,0,0,44,136,0,140,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2340.0,0,0,44,136,0,140,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2350.0,0,0,44,136,0,141,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2360.0,0,0,44,136,0,141,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2370.0,0,0,44,136,0,142,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2380.0,0,0,44,136,0,144,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2390.0,0,0,44,136,0,145,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2400.0,0,0,44,136,0,145,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2410.0,0,0,44,136,0,145,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2420.0,0,0,44,136,0,145,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2430.0,0,0,44,136,0,146,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2440.0,0,0,44,136,0,146,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2450.0,0,0,44,136,0,148,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2460.0,0,0,44,136,0,148,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2470.0,0,0,44,136,0,148,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2480.0,0,0,44,136,0,151,0,0,0.0,0.0
