,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
92,GlobalTaskQueueGamma,93,1796160489603231124,0.0,1.0,0.3,22,529
93,GlobalTaskQueueGamma,94,6225431315032175363,0.0,1.0,0.4,26,534
94,GlobalTaskQueueGamma,95,6988013564169465681,0.0,1.0,0.5,23,511
95,GlobalTaskQueueGamma,96,7289755218735189402,0.0,1.0,0.6,19,518
96,GlobalTaskQueueGamma,97,1223023882101116390,0.0,1.0,0.7,23,538
97,GlobalTaskQueueGamma,98,1872217177666212782,0.0,1.0,0.8,21,556
98,GlobalTaskQueueGamma,99,649294613152767581,0.0,1.0,0.9,21,519
99,GlobalTaskQueueGamma,100,1060518134331528449,0.0,1.0,1.0,19,524
100,GlobalTaskQueueGamma,101,2730769366622846191,0.1,0.1,0.1,19,138
101,GlobalTaskQueueGamma,102,8122135727775352591,0.1,0.1,0.2,20,224
102,GlobalTaskQueueGamma,103,6408208360066876943,0.1,0.1,0.3,25,269
103,GlobalTaskQueueGamma,104,7352277596418142374,0.1,0.1,0.4,23,291
104,GlobalTaskQueueGamma,105,5117226961052674361,0.1,0.1,0.5,17,318
105,GlobalTaskQueueGamma,106,4588890379691784188,0.1,0.1,0.6,20,390
106,GlobalTaskQueueGamma,107,6459015322564901664,0.1,0.1,0.7,21,428
107,GlobalTaskQueueGamma,108,7837221478937801090,0.1,0.1,0.8,21,453
108,GlobalTaskQueueGamma,109,3827705389464461497,0.1,0.1,0.9,25,500
109,GlobalTaskQueueGamma,110,3406450873903873254,0.1,0.1,1.0,22,551
110,GlobalTaskQueueGamma,111,6620002322455467055,0.1,0.2,0.1,20,216
111,GlobalTaskQueueGamma,112,6739882615604243062,0.1,0.2,0.2,22,254
112,GlobalTaskQueueGamma,113,4018421906208245931,0.1,0.2,0.3,20,304
113,GlobalTaskQueueGamma,114,5375588602576824032,0.1,0.2,0.4,24,344
114,GlobalTaskQueueGamma,115,6418971901351527182,0.1,0.2,0.5,19,388
115,GlobalTaskQueueGamma,116,6995636730645982927,0.1,0.2,0.6,19,386
116,GlobalTaskQueueGamma,117,8341824957984577980,0.1,0.2,0.7,26,414
117,GlobalTaskQueueGamma,118,257079357768246090,0.1,0.2,0.8,25,438
118,GlobalTaskQueueGamma,119,8457442689693583145,0.1,0.2,0.9,25,466
119,GlobalTaskQueueGamma,120,9214454362203808878,0.1,0.2,1.0,19,544
120,GlobalTaskQueueGamma,121,9171226480073045500,0.1,0.3,0.1,24,248
121,GlobalTaskQueueGamma,122,2124060430823971808,0.1,0.3,0.2,20,282
122,GlobalTaskQueueGamma,123,7216859551928059389,0.1,0.3,0.3,15,333
123,GlobalTaskQueueGamma,124,9095234008697279652,0.1,0.3,0.4,17,363
124,GlobalTaskQueueGamma,125,1059637217287277730,0.1,0.3,0.5,22,375
125,GlobalTaskQueueGamma,126,3810914654779374324,0.1,0.3,0.6,19,425
126,GlobalTaskQueueGamma,127,7719565551173098335,0.1,0.3,0.7,21,457
127,GlobalTaskQueueGamma,128,2534101954754249655,0.1,0.3,0.8,26,495
128,GlobalTaskQueueGamma,129,6540218314516795143,0.1,0.3,0.9,21,495
129,GlobalTaskQueueGamma,130,672300978698827014,0.1,0.3,1.0,13,507
130,GlobalTaskQueueGamma,131,1962829301431012585,0.1,0.4,0.1,24,300
131,GlobalTaskQueueGamma,132,2542084654357450284,0.1,0.4,0.2,22,333
132,GlobalTaskQueueGamma,133,3531229301267406905,0.1,0.4,0.3,22,374
133,GlobalTaskQueueGamma,134,8378617453138610642,0.1,0.4,0.4,21,370
134,GlobalTaskQueueGamma,135,8031027381734740768,0.1,0.4,0.5,22,416
135,GlobalTaskQueueGamma,136,1047251156505272932,0.1,0.4,0.6,22,440
136,GlobalTaskQueueGamma,137,2005958320967276369,0.1,0.4,0.7,24,468
137,GlobalTaskQueueGamma,138,5464963834076408523,0.1,0.4,0.8,18,482
138,GlobalTaskQueueGamma,139,6442468486730396666,0.1,0.4,0.9,20,477
139,GlobalTaskQueueGamma,140,109273328195569226,0.1,0.4,1.0,19,524
140,GlobalTaskQueueGamma,141,7733824596599250956,0.1,0.5,0.1,23,352
141,GlobalTaskQueueGamma,142,2602023164120103366,0.1,0.5,0.2,22,386
142,GlobalTaskQueueGamma,143,6497545248555003136,0.1,0.5,0.3,21,400
143,GlobalTaskQueueGamma,144,3077512918265429185,0.1,0.5,0.4,25,418
144,GlobalTaskQueueGamma,145,1389620245507613723,0.1,0.5,0.5,21,413
145,GlobalTaskQueueGamma,146,6268070555262570014,0.1,0.5,0.6,26,481
146,GlobalTaskQueueGamma,147,8200227211161936724,0.1,0.5,0.7,21,457
147,GlobalTaskQueueGamma,148,5092823813517778092,0.1,0.5,0.8,17,525
148,GlobalTaskQueueGamma,149,3496617180234168736,0.1,0.5,0.9,21,519
149,GlobalTaskQueueGamma,150,3769731101031302901,0.1,0.5,1.0,25,506
150,GlobalTaskQueueGamma,151,954833679586002047,0.1,0.6,0.1,22,377
